"Microsoft Cloud for Healthcare Learner Self-Assessment (Preview) - Mar 15, 2023 - 6:24:52 PM",,,,,
,,,,,
Great Job!,,,,,
Build Applications and Solutions with Microsoft 365 Core Services,Please assess your proficiency in deploying a Teams app,"Advanced ",,,
Build Applications and Solutions with Microsoft 365 Core Services,Please assess your proficiency in deploying a Teams app,"[Or] i have completed ""Introduction to Building apps for Microsoft Teams"" module on Microsoft Learn | 39 min",,,
Build Applications and Solutions with Microsoft 365 Core Services,Please assess your proficiency in implementing custom Teams tabs,"Beginner ",,,
Build Applications and Solutions with Microsoft 365 Core Services,Please assess your proficiency in implementing custom Teams tabs,Intermediate,Intermediate,,
Build Applications and Solutions with Microsoft 365 Core Services,Please assess your proficiency in implementing custom Teams tabs,"Advanced ",,,
Build Applications and Solutions with Microsoft 365 Core Services,Please assess your proficiency in implementing custom Teams tabs,"[or] I have completed ""Create Embedded Web Experiences with Tabs for Microsoft Teams"" module on Microsoft Learn | 2 hr 24 min",,,
Build Applications and Solutions with Microsoft 365 Core Services,Please assess your proficiency in implementing single sign-on authentication for a tab,"Beginner ",,,
Build Applications and Solutions with Microsoft 365 Core Services,Please assess your proficiency in implementing single sign-on authentication for a tab,Intermediate,Intermediate,,
Build Applications and Solutions with Microsoft 365 Core Services,Please assess your proficiency in implementing single sign-on authentication for a tab,"Advanced ",,,
Build Applications and Solutions with Microsoft 365 Core Services,Please assess your proficiency in implementing single sign-on authentication for a tab,"[Or] I have completed ""Microsoft Teams – Authentication and Single Sign-on"" module on Microsoft Learn | 1 hr 15 min",,,
Data Engineering on Microsoft Azure,Please assess your proficiency in designing a data storage structure,"Beginner ",,,
Data Engineering on Microsoft Azure,Please assess your proficiency in designing a data storage structure,Intermediate,Intermediate,,
Data Engineering on Microsoft Azure,Please assess your proficiency in designing a data storage structure,"Advanced ",,,
Data Engineering on Microsoft Azure,Please assess your proficiency in designing a data storage structure,"[Or] I have completed ""Data Engineering on Microsoft Azure"" learning path on Microsoft Learn | 3 hr 40 min",,,
Design Microsoft Azure Infrastructure Solutions,Please assess your proficiency level in designing data storage solutions for relational data,"Beginner ",,,
Design Microsoft Azure Infrastructure Solutions,Please assess your proficiency level in designing data storage solutions for relational data,Intermediate,Intermediate,,
Design Microsoft Azure Infrastructure Solutions,Please assess your proficiency level in designing data storage solutions for relational data,"Advanced ",,,
Design Microsoft Azure Infrastructure Solutions,Please assess your proficiency level in designing data storage solutions for relational data,"[Or] I have completed ""Design Data Storage Solutions"" learning path on Microsoft learn | 1 hr 15 min ",,,
Design Microsoft Azure Infrastructure Solutions,Please assess your proficiency in designing data integrations,"Beginner ",,,
Design Microsoft Azure Infrastructure Solutions,Please assess your proficiency in designing data integrations,Intermediate,Intermediate,,
Design Microsoft Azure Infrastructure Solutions,Please assess your proficiency in designing data integrations,"Advanced ",,,
Design Microsoft Azure Infrastructure Solutions,Please assess your proficiency in designing data integrations,"[Or] I have completed ""Design Data Integration"" module on Learn | 27 min",,,
Get Started with Microsoft Cloud for Healthcare,"Have you completed ""Get started with Microsoft Cloud for Healthcare"" learning path?",Yes,Yes,,
Get Started with Microsoft Cloud for Healthcare,"Have you completed ""Get started with Microsoft Cloud for Healthcare"" learning path?",No,,,
